Item 1,Item 2,Frequency,cell1_phase,cell2_phase,same?,type
950,1019,52,post-M,post-M,True,post-M+post-M
814,934,35,post-M,post-M,True,post-M+post-M
723,1050,35,post-M,post-M,True,post-M+post-M
82,317,35,G1,G1,True,G1+G1
89,354,32,G1,G1,True,G1+G1
866,871,31,post-M,G1,False,G1+post-M
330,723,30,G1,post-M,False,G1+post-M
344,580,30,G1,early-S,False,G1+early-S
287,480,29,G1,G1,True,G1+G1
871,1019,29,G1,post-M,False,G1+post-M
660,871,29,early-S,G1,False,G1+early-S
866,950,29,post-M,post-M,True,post-M+post-M
173,239,29,G1,G1,True,G1+G1
723,1019,28,post-M,post-M,True,post-M+post-M
354,1019,28,G1,post-M,False,G1+post-M
158,354,28,G1,G1,True,G1+G1
354,969,27,G1,post-M,False,G1+post-M
934,957,27,post-M,post-M,True,post-M+post-M
147,256,27,G1,G1,True,G1+G1
862,876,27,post-M,G1,False,G1+post-M
331,348,27,G1,G1,True,G1+G1
229,354,27,G1,G1,True,G1+G1
180,330,27,G1,G1,True,G1+G1
147,945,27,G1,post-M,False,G1+post-M
881,934,27,post-M,post-M,True,post-M+post-M
723,1023,27,post-M,post-M,True,post-M+post-M
862,950,27,post-M,post-M,True,post-M+post-M
770,1019,27,G1,post-M,False,G1+post-M
871,1023,27,G1,post-M,False,G1+post-M
99,251,27,G1,G1,True,G1+G1
174,652,27,G1,early-S,False,G1+early-S
207,1019,27,early-S,post-M,False,early-S+post-M
916,934,26,post-M,post-M,True,post-M+post-M
11,13,26,G1,G1,True,G1+G1
723,945,26,post-M,post-M,True,post-M+post-M
404,871,26,early-S,G1,False,G1+early-S
862,866,26,post-M,post-M,True,post-M+post-M
723,950,26,post-M,post-M,True,post-M+post-M
167,169,26,G1,G1,True,G1+G1
192,376,26,G1,G1,True,G1+G1
4,351,26,G1,G1,True,G1+G1
13,161,26,G1,G1,True,G1+G1
39,207,26,G1,early-S,False,G1+early-S
13,526,26,G1,early-S,False,G1+early-S
183,296,25,G1,G1,True,G1+G1
23,866,25,G1,post-M,False,G1+post-M
82,945,25,G1,post-M,False,G1+post-M
814,1023,25,post-M,post-M,True,post-M+post-M
97,314,25,early-S,G1,False,G1+early-S
862,881,25,post-M,post-M,True,post-M+post-M
264,723,25,G1,post-M,False,G1+post-M
723,866,25,post-M,post-M,True,post-M+post-M
866,957,25,post-M,post-M,True,post-M+post-M
39,330,25,G1,G1,True,G1+G1
164,173,25,G1,G1,True,G1+G1
866,1019,25,post-M,post-M,True,post-M+post-M
526,876,25,early-S,G1,False,G1+early-S
938,1023,25,post-M,post-M,True,post-M+post-M
253,866,25,G1,post-M,False,G1+post-M
280,957,25,G1,post-M,False,G1+post-M
170,352,25,G1,G1,True,G1+G1
161,183,25,G1,G1,True,G1+G1
164,194,25,G1,G1,True,G1+G1
317,429,25,G1,early-S,False,G1+early-S
226,950,25,G1,post-M,False,G1+post-M
199,988,25,G1,early-S,False,G1+early-S
226,263,25,G1,G1,True,G1+G1
934,1019,24,post-M,post-M,True,post-M+post-M
354,723,24,G1,post-M,False,G1+post-M
957,1023,24,post-M,post-M,True,post-M+post-M
16,876,24,G1,G1,True,G1+G1
937,957,24,post-M,post-M,True,post-M+post-M
360,480,24,G1,G1,True,G1+G1
260,1019,24,G1,post-M,False,G1+post-M
934,1050,24,post-M,post-M,True,post-M+post-M
296,871,24,G1,G1,True,G1+G1
330,862,24,G1,post-M,False,G1+post-M
183,226,24,G1,G1,True,G1+G1
208,934,24,G1,post-M,False,G1+post-M
265,950,24,G1,post-M,False,G1+post-M
174,231,24,G1,G1,True,G1+G1
228,1033,24,G1,pre-M,False,G1+pre-M
239,1033,24,G1,pre-M,False,G1+pre-M
170,871,24,G1,G1,True,G1+G1
226,767,24,G1,early-S,False,G1+early-S
163,317,24,G1,G1,True,G1+G1
258,354,24,G1,G1,True,G1+G1
328,354,24,G1,G1,True,G1+G1
183,357,24,G1,G1,True,G1+G1
5,124,24,early-S,early-S,True,early-S+early-S
11,317,24,G1,G1,True,G1+G1
202,1019,24,G1,post-M,False,G1+post-M
814,1033,23,post-M,pre-M,False,post-M+pre-M
881,957,23,post-M,post-M,True,post-M+post-M
881,945,23,post-M,post-M,True,post-M+post-M
916,945,23,post-M,post-M,True,post-M+post-M
866,1050,23,post-M,post-M,True,post-M+post-M
167,358,23,G1,G1,True,G1+G1
881,937,23,post-M,post-M,True,post-M+post-M
723,881,23,post-M,post-M,True,post-M+post-M
16,379,23,G1,G1,True,G1+G1
219,442,23,G1,early-S,False,G1+early-S
296,357,23,G1,G1,True,G1+G1
61,147,23,early-S,G1,False,G1+early-S
260,352,23,G1,G1,True,G1+G1
118,183,23,early-S,G1,False,G1+early-S
418,1019,23,G1,post-M,False,G1+post-M
339,527,23,G1,early-S,False,G1+early-S
180,1019,23,G1,post-M,False,G1+post-M
216,647,23,G1,early-S,False,G1+early-S
11,273,23,G1,G1,True,G1+G1
173,264,23,G1,G1,True,G1+G1
133,281,23,G1,G1,True,G1+G1
97,881,23,early-S,post-M,False,early-S+post-M
29,1019,23,G1,post-M,False,G1+post-M
284,950,23,G1,post-M,False,G1+post-M
330,368,23,G1,G1,True,G1+G1
72,1019,23,early-S,post-M,False,early-S+post-M
47,354,23,G1,G1,True,G1+G1
89,183,23,G1,G1,True,G1+G1
164,264,23,G1,G1,True,G1+G1
47,210,23,G1,G1,True,G1+G1
290,945,23,G1,post-M,False,G1+post-M
183,950,23,G1,post-M,False,G1+post-M
229,260,23,G1,G1,True,G1+G1
142,316,23,G1,G1,True,G1+G1
4,1050,23,G1,post-M,False,G1+post-M
239,317,23,G1,G1,True,G1+G1
90,246,23,early-S,G1,False,G1+early-S
170,372,23,G1,G1,True,G1+G1
180,740,23,G1,G1,True,G1+G1
146,1019,22,G1,post-M,False,G1+post-M
199,354,22,G1,G1,True,G1+G1
296,957,22,G1,post-M,False,G1+post-M
354,934,22,G1,post-M,False,G1+post-M
881,969,22,post-M,post-M,True,post-M+post-M
442,502,22,early-S,early-S,True,early-S+early-S
41,141,22,early-S,G1,False,G1+early-S
143,1019,22,early-S,post-M,False,early-S+post-M
130,794,22,early-S,G1,False,G1+early-S
352,1050,22,G1,post-M,False,G1+post-M
239,271,22,G1,early-S,False,G1+early-S
147,740,22,G1,G1,True,G1+G1
1023,1050,22,post-M,post-M,True,post-M+post-M
16,40,22,G1,early-S,False,G1+early-S
180,206,22,G1,G1,True,G1+G1
233,368,22,G1,G1,True,G1+G1
169,174,22,G1,G1,True,G1+G1
413,871,22,early-S,G1,False,G1+early-S
170,263,22,G1,G1,True,G1+G1
1019,1023,22,post-M,post-M,True,post-M+post-M
161,296,22,G1,G1,True,G1+G1
263,871,22,G1,G1,True,G1+G1
138,233,22,G1,G1,True,G1+G1
356,866,22,G1,post-M,False,G1+post-M
124,231,22,early-S,G1,False,G1+early-S
610,876,22,early-S,G1,False,G1+early-S
33,317,22,early-S,G1,False,G1+early-S
16,130,22,G1,early-S,False,G1+early-S
969,1049,22,post-M,pre-M,False,post-M+pre-M
166,330,22,G1,G1,True,G1+G1
260,1049,22,G1,pre-M,False,G1+pre-M
280,814,22,G1,post-M,False,G1+post-M
154,260,22,G1,G1,True,G1+G1
180,316,22,G1,G1,True,G1+G1
138,307,22,G1,G1,True,G1+G1
11,60,22,G1,early-S,False,G1+early-S
20,35,22,early-S,early-S,True,early-S+early-S
180,317,22,G1,G1,True,G1+G1
207,283,22,early-S,G1,False,G1+early-S
330,356,22,G1,G1,True,G1+G1
487,526,22,early-S,early-S,True,early-S+early-S
916,950,21,post-M,post-M,True,post-M+post-M
296,969,21,G1,post-M,False,G1+post-M
146,246,21,G1,G1,True,G1+G1
97,871,21,early-S,G1,False,G1+early-S
862,957,21,post-M,post-M,True,post-M+post-M
308,642,21,G1,G1,True,G1+G1
265,354,21,G1,G1,True,G1+G1
23,1019,21,G1,post-M,False,G1+post-M
356,415,21,G1,early-S,False,G1+early-S
333,959,21,G1,late-S/G2,False,G1+late-S/G2
61,143,21,early-S,early-S,True,early-S+early-S
256,526,21,G1,early-S,False,G1+early-S
180,256,21,G1,G1,True,G1+G1
371,580,21,G1,early-S,False,G1+early-S
371,648,21,G1,early-S,False,G1+early-S
